                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 0.5381,                0.33954,                0.88815,                0.97233,                      1,                  0.995,                0.85791,                 0.5988,                0.33487,                0.97207,              0.0007724,              0.0007724,              0.0007724
                     64,                0.50965,                0.33893,                0.86429,                0.98078,                      1,                  0.995,                0.84131,                0.60936,                0.33707,                0.97582,              0.0007526,              0.0007526,              0.0007526
                     65,                0.55899,                0.34494,                0.87929,                0.98114,                      1,                  0.995,                0.85085,                0.58793,                0.33133,                 0.9692,              0.0007328,              0.0007328,              0.0007328
                     66,                0.53558,                0.34016,                0.85488,                0.97572,                      1,                  0.995,                0.87873,                0.53084,                0.31621,                0.95102,               0.000713,               0.000713,               0.000713
                     67,                0.55102,                0.32837,                0.91246,                0.97321,                      1,                  0.995,                0.88468,                0.52541,                0.30638,                0.94878,              0.0006932,              0.0006932,              0.0006932
                     68,                 0.5232,                 0.3113,                0.87357,                0.96626,                      1,                  0.995,                 0.8794,                 0.5263,                0.31917,                0.95161,              0.0006734,              0.0006734,              0.0006734
                     69,                0.51168,                0.31316,                0.86552,                0.96448,                      1,                  0.995,                0.86386,                0.55496,                0.32482,                0.96196,              0.0006536,              0.0006536,              0.0006536
                     70,                0.50945,                0.31871,                0.85466,                0.95781,                      1,                  0.995,                0.85309,                0.58565,                0.35006,                0.97416,              0.0006338,              0.0006338,              0.0006338
                     71,                0.52321,                0.33784,                0.86699,                0.96035,                      1,                  0.995,                0.85817,                0.56812,                0.35119,                0.97124,               0.000614,               0.000614,               0.000614
                     72,                0.51043,                0.31954,                0.88242,                 0.9691,                      1,                  0.995,                0.86856,                0.54408,                0.34201,                0.96162,              0.0005942,              0.0005942,              0.0005942
                     73,                0.50559,                 0.3114,                0.88763,                0.97065,                      1,                  0.995,                0.88422,                0.54527,                 0.3464,                0.95826,              0.0005744,              0.0005744,              0.0005744
                     74,                 0.5189,                0.32009,                0.86153,                0.97481,                      1,                  0.995,                0.87831,                0.55062,                0.33795,                0.96195,              0.0005546,              0.0005546,              0.0005546
                     75,                0.53411,                0.33207,                0.86413,                0.97591,                      1,                  0.995,                0.87683,                 0.5482,                0.33939,                0.96209,              0.0005348,              0.0005348,              0.0005348
                     76,                0.50154,                0.30203,                 0.8728,                  0.976,                      1,                  0.995,                0.89399,                0.53391,                0.34401,                0.95676,               0.000515,               0.000515,               0.000515
                     77,                0.51282,                0.31312,                0.85067,                0.97621,                      1,                  0.995,                0.89631,                0.53611,                0.34612,                0.95596,              0.0004952,              0.0004952,              0.0004952
                     78,                0.53931,                0.33191,                0.87366,                0.97611,                      1,                  0.995,                0.87585,                0.55373,                0.34091,                0.96065,              0.0004754,              0.0004754,              0.0004754
                     79,                0.49693,                0.30793,                0.85107,                0.97713,                      1,                  0.995,                0.87741,                0.55013,                0.34283,                0.95983,              0.0004556,              0.0004556,              0.0004556
                     80,                0.48226,                0.30484,                0.84532,                0.97919,                      1,                  0.995,                0.85688,                0.54736,                0.34891,                 0.9574,              0.0004358,              0.0004358,              0.0004358
                     81,                0.47369,                0.30379,                 0.8536,                0.97814,                      1,                  0.995,                0.86492,                0.54874,                0.35229,                0.95766,               0.000416,               0.000416,               0.000416
                     82,                0.57191,                0.33637,                 0.8564,                0.97781,                      1,                  0.995,                0.87456,                0.54046,                0.33739,                0.95576,              0.0003962,              0.0003962,              0.0003962
                     83,                0.53915,                0.33507,                0.88707,                0.97879,                      1,                  0.995,                0.87642,                0.54498,                0.33098,                0.95621,              0.0003764,              0.0003764,              0.0003764
                     84,                0.47475,                0.31395,                0.86631,                 0.9786,                      1,                  0.995,                 0.8974,                0.52314,                0.32343,                0.94911,              0.0003566,              0.0003566,              0.0003566
                     85,                0.46964,                0.29116,                0.89092,                0.97826,                      1,                  0.995,                0.88804,                0.52228,                0.32218,                0.94485,              0.0003368,              0.0003368,              0.0003368
                     86,                0.49689,                 0.3301,                 0.8845,                0.97782,                      1,                  0.995,                0.88547,                0.53351,                0.31682,                0.94297,               0.000317,               0.000317,               0.000317
                     87,                0.47928,                0.29201,                0.87132,                0.97697,                      1,                  0.995,                0.88693,                0.52407,                0.31539,                0.94172,              0.0002972,              0.0002972,              0.0002972
                     88,                0.45425,                0.29448,                0.87309,                0.97363,                      1,                  0.995,                0.89166,                0.50953,                0.31993,                0.94413,              0.0002774,              0.0002774,              0.0002774
                     89,                0.45176,                0.30106,                0.84964,                 0.9731,                      1,                  0.995,                0.88169,                0.52552,                0.32607,                0.94878,              0.0002576,              0.0002576,              0.0002576
                     90,                0.54306,                0.32056,                0.86414,                0.97428,                      1,                  0.995,                0.85799,                0.56413,                0.34178,                0.95782,              0.0002378,              0.0002378,              0.0002378
                     91,                0.54347,                0.32042,                0.86782,                 0.9728,                      1,                  0.995,                0.86228,                0.56977,                 0.3479,                0.95869,               0.000218,               0.000218,               0.000218
                     92,                0.49583,                0.29854,                 0.8807,                0.97242,                      1,                  0.995,                0.87521,                0.52915,                0.33867,                0.94866,              0.0001982,              0.0001982,              0.0001982
                     93,                0.42916,                0.26538,                0.83728,                0.97285,                      1,                  0.995,                0.89139,                0.50884,                0.32965,                0.94229,              0.0001784,              0.0001784,              0.0001784
                     94,                0.39868,                0.25991,                0.83509,                0.97398,                      1,                  0.995,                 0.8922,                0.51152,                0.32858,                0.93746,              0.0001586,              0.0001586,              0.0001586
                     95,                0.46834,                0.27901,                0.85581,                0.97434,                      1,                  0.995,                0.89084,                 0.5211,                0.32945,                0.93807,              0.0001388,              0.0001388,              0.0001388
                     96,                 0.5282,                0.29884,                0.86612,                 0.9738,                      1,                  0.995,                 0.8918,                0.52336,                0.32779,                0.93863,               0.000119,               0.000119,               0.000119
                     97,                 0.4426,                 0.2739,                0.89078,                0.97259,                      1,                  0.995,                0.89196,                0.51684,                0.32402,                0.93812,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.40739,                0.26904,                0.84368,                0.97223,                      1,                  0.995,                0.88879,                0.51171,                0.32149,                0.93884,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 0.3795,                0.25908,                0.83777,                0.97214,                      1,                  0.995,                0.89399,                0.51078,                0.32119,                0.93977,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.39921,                0.25076,                0.83822,                0.97139,                      1,                  0.995,                0.89321,                0.51331,                0.32481,                0.94025,               3.98e-05,               3.98e-05,               3.98e-05
